frame,clip,MSE,PSNR,SSIM
100,batch_rank10,482.4212,21.296539306640625,0.753032258569042
101,PCA_rank10,177.69203,25.634124755859375,0.8680434207222125
101,SVD_rank10,0.0,inf,1.0
101,batch_rank10,536.88464,20.831993103027344,0.7507684194971123
102,PCA_rank10,174.54156,25.711814880371094,0.877212873775612
102,SVD_rank10,0.0,inf,1.0
102,batch_rank10,433.04517,21.765470504760742,0.7910673649243759
103,PCA_rank10,119.69703,27.3499698638916,0.9076855064427046
103,SVD_rank10,0.0,inf,1.0
103,batch_rank10,451.31744,21.585981369018555,0.7987091598567924
104,PCA_rank10,94.57052,28.373245239257812,0.9272858327172239
104,SVD_rank10,0.0,inf,1.0
104,batch_rank10,509.05322,21.063173294067383,0.800085049395871
105,PCA_rank10,76.39339,29.300247192382812,0.9369859631553865
105,SVD_rank10,0.0,inf,1.0
105,batch_rank10,506.08246,21.088590621948242,0.8037852298537017
106,PCA_rank10,49.66828,31.170013427734375,0.9541819719852677
106,SVD_rank10,0.0,inf,1.0
106,batch_rank10,519.6564,20.973642349243164,0.7950161225453595
107,PCA_rank10,42.09328,31.888675689697266,0.9606506950019824
107,SVD_rank10,0.0,inf,1.0
107,batch_rank10,528.4887,20.900447845458984,0.7893745809260174
108,PCA_rank10,43.752605,31.72076416015625,0.9577283887906095
108,SVD_rank10,0.0,inf,1.0
108,batch_rank10,495.64136,21.179126739501953,0.7990752805383736
109,PCA_rank10,57.513596,30.533100128173828,0.9466258368998207
109,SVD_rank10,0.0,inf,1.0
109,batch_rank10,389.38104,22.2270565032959,0.8164125666783529
110,PCA_rank10,94.21536,28.38958740234375,0.9244455126800781
110,SVD_rank10,0.0,inf,1.0
110,batch_rank10,401.72974,22.091463088989258,0.8071686620415315
111,PCA_rank10,222.25954,24.662199020385742,0.8613807065609194
111,SVD_rank10,0.0,inf,1.0
111,batch_rank10,493.67682,21.19637680053711,0.7694428079085114
112,PCA_rank10,308.41068,23.23950958251953,0.820095281165946
112,SVD_rank10,0.0,inf,1.0
112,batch_rank10,806.95856,19.062292098999023,0.7170187012105304
113,PCA_rank10,242.18307,24.289363861083984,0.8362201230387653
113,SVD_rank10,0.0,inf,1.0
113,batch_rank10,869.4242,18.738487243652344,0.6982211380273301
114,PCA_rank10,181.1452,25.550535202026367,0.8673410514633508
114,SVD_rank10,0.0,inf,1.0
114,batch_rank10,650.9939,19.99503517150879,0.7015000085826626
115,PCA_rank10,57.574844,30.52847671508789,0.9442427356991673
115,SVD_rank10,0.0,inf,1.0
115,batch_rank10,417.58514,21.92335319519043,0.7249665180566612
116,PCA_rank10,22.422604,34.62394332885742,0.9736322597696733
116,SVD_rank10,0.0,inf,1.0
116,batch_rank10,412.20584,21.979660034179688,0.7242978073736959
117,PCA_rank10,12.906354,37.02276611328125,0.9810983110593934
117,SVD_rank10,0.0,inf,1.0
117,batch_rank10,431.088,21.785144805908203,0.7198594973217336
118,PCA_rank10,9.600365,38.307926177978516,0.9824792854687744
118,SVD_rank10,0.0,inf,1.0
118,batch_rank10,404.9502,22.056787490844727,0.7244751753907215
119,PCA_rank10,4.9583335,41.17744445800781,0.9855819079326863
119,SVD_rank10,0.0,inf,1.0
119,batch_rank10,303.34,23.311508178710938,0.7614123317542055
120,PCA_rank10,4.276823,41.8195915222168,0.988501360599757
120,SVD_rank10,0.0,inf,1.0
120,batch_rank10,238.00896,24.364870071411133,0.7857663297850187
121,PCA_rank10,8.830886,38.67076110839844,0.9815605584965355
121,SVD_rank10,0.0,inf,1.0
121,batch_rank10,273.6436,23.758949279785156,0.771194383146125
122,PCA_rank10,55.64396,30.67662239074707,0.9420627310130737
122,SVD_rank10,0.0,inf,1.0
122,batch_rank10,346.09454,22.738855361938477,0.7537678150693612
123,PCA_rank10,164.07271,25.980438232421875,0.8758793471661527
123,SVD_rank10,0.0,inf,1.0
123,batch_rank10,394.03296,22.175479888916016,0.7421113142779445
124,PCA_rank10,205.07823,25.011608123779297,0.8519609648647333
124,SVD_rank10,0.0,inf,1.0
124,batch_rank10,387.6351,22.246572494506836,0.7379366410109823
125,PCA_rank10,149.9262,26.372028350830078,0.878721696318452
125,SVD_rank10,0.0,inf,1.0
125,batch_rank10,408.36063,22.020362854003906,0.7345461473095781
126,PCA_rank10,103.31906,27.988998413085938,0.9069205076343462
126,SVD_rank10,0.0,inf,1.0
126,batch_rank10,398.87598,22.122425079345703,0.7383329380467772
127,PCA_rank10,59.126457,30.412982940673828,0.9406934582200706
127,SVD_rank10,0.0,inf,1.0
127,batch_rank10,362.19287,22.541404724121094,0.770129899269453
128,PCA_rank10,67.94839,29.80901336669922,0.9357424438252149
128,SVD_rank10,0.0,inf,1.0
128,batch_rank10,284.3618,23.592090606689453,0.799014316866561
129,PCA_rank10,62.54047,30.169191360473633,0.9367881866056387
129,SVD_rank10,0.0,inf,1.0
129,batch_rank10,291.38553,23.486122131347656,0.7842578688746525
130,PCA_rank10,42.24974,31.872562408447266,0.9568879574501621
130,SVD_rank10,0.0,inf,1.0
130,batch_rank10,291.08136,23.490659713745117,0.7749058249487669
131,PCA_rank10,43.119114,31.78410530090332,0.954289787342356
131,SVD_rank10,0.0,inf,1.0
131,batch_rank10,328.69855,22.962825775146484,0.7771206099922633
132,PCA_rank10,56.91922,30.578214645385742,0.9422980535061816
132,SVD_rank10,0.0,inf,1.0
132,batch_rank10,388.3989,22.23802375793457,0.7661026977028623
133,PCA_rank10,33.86224,32.833648681640625,0.9670222510001829
133,SVD_rank10,0.0,inf,1.0
133,batch_rank10,455.44824,21.54641342163086,0.7574680638260385
134,PCA_rank10,22.246458,34.65819549560547,0.9792827464308445
134,SVD_rank10,0.0,inf,1.0
134,batch_rank10,460.11548,21.502134323120117,0.7669215524404853
135,PCA_rank10,16.499687,35.95604705810547,0.9791000002740796
135,SVD_rank10,0.0,inf,1.0
135,batch_rank10,494.98718,21.184864044189453,0.7557695025698474
136,PCA_rank10,7.7504168,39.237552642822266,0.986008757660197
136,SVD_rank10,0.0,inf,1.0
136,batch_rank10,522.17065,20.952678680419922,0.747387833649621
137,PCA_rank10,3.125,43.18230056762695,0.9905697677833415
137,SVD_rank10,0.0,inf,1.0
137,batch_rank10,422.77057,21.8697566986084,0.7575701493002307
138,PCA_rank10,9.158542,38.51253890991211,0.9867024982173436
138,SVD_rank10,0.0,inf,1.0
138,batch_rank10,248.70485,24.173961639404297,0.8031768092860172
139,PCA_rank10,21.273125,34.85248947143555,0.9741009806012458
139,SVD_rank10,0.0,inf,1.0
139,batch_rank10,171.67667,25.78369140625,0.8480998779456774
140,PCA_rank10,51.34458,31.02585792541504,0.9497075390600259
